id;item_code;item_name;item_description;item_price;item_serial;item_supplier_serial;item_cost;item_sale_price;original_stock_date;modified_stock_date
1;bypass Ameliorated;Brand;infomediaries Som Rustic Frozen Keyboard;44235;Optimized;microchip;66019;93461;2019-08-19;2019-08-18
2;Buckinghamshire payment e-markets;paradigms Organic strategic;Steel leading-edge Small;9415;solution;Colombian Peso Unidad de Valor Real Bridge Handmade;49161;80691;2019-08-18;2019-08-19
3;Light;integrate Personal Loan Account;HTTP explicit;1530;Optimization Cambridgeshire;payment Soap;7056;94389;2019-08-18;2019-08-18
4;COM;Data North Dakota;North Carolina Granite;81120;parsing Investment Account;Branding Dynamic black;6936;21458;2019-08-19;2019-08-19
5;Ergonomic Rubber Chicken;Handcrafted Plastic Shirt quantifying;wireless;26069;Avon;Rupiah Personal Loan Account HTTP;73507;41794;2019-08-18;2019-08-18
6;China;quantify multi-byte;interface Cotton Robust;58054;JSON Texas;bandwidth;75087;73990;2019-08-18;2019-08-19
7;iterate;Berkshire navigating;superstructure;9998;Small Frozen Salad bypassing;time-frame Quality;95060;48252;2019-08-18;2019-08-18
8;Practical Gorgeous;knowledge user Danish Krone;Data neural Wooden;93092;Associate Designer;mindshare;88770;54591;2019-08-19;2019-08-18
9;Liaison;program Auto Loan Account Refined;infomediaries;22257;revolutionize;panel Sleek Intelligent;98663;58130;2019-08-19;2019-08-18
10;SAS User-centric;Planner navigate repurpose;Buckinghamshire;37798;system Triple-buffered;Cotton;49262;25368;2019-08-19;2019-08-18
